# x y speed omega solid
1.6386404293e+00 -1.2000000000e+00 2.0030046678e+01 -3.4555819556e-56 0
1.6472271914e+00 -1.2000000000e+00 2.0029025794e+01 -4.5133210601e-56 0
1.6558139535e+00 -1.2000000000e+00 2.0028063039e+01 -5.8846085396e-56 0
1.6644007156e+00 -1.2000000000e+00 2.0027159023e+01 -7.5577891274e-56 0
1.6729874776e+00 -1.2000000000e+00 2.0026289508e+01 -9.4806850613e-56 0
1.6815742397e+00 -1.2000000000e+00 2.0025454333e+01 -1.1656858996e-55 0
1.6901610018e+00 -1.2000000000e+00 2.0024611590e+01 -1.4116866328e-55 0
1.6987477639e+00 -1.2000000000e+00 2.0023674920e+01 -1.6951500054e-55 0
1.7073345259e+00 -1.2000000000e+00 2.0022766836e+01 -1.9988096786e-55 0
1.7159212880e+00 -1.2000000000e+00 2.0021887195e+01 -2.3143485864e-55 0
1.7245080501e+00 -1.2000000000e+00 2.0021035849e+01 -2.6313606602e-55 0
1.7330948122e+00 -1.2000000000e+00 2.0020212644e+01 -2.9378279208e-55 0
1.7416815742e+00 -1.2000000000e+00 2.0019417419e+01 -3.2208219401e-55 0
1.7502683363e+00 -1.2000000000e+00 2.0018650007e+01 -3.4673799908e-55 0
1.7588550984e+00 -1.2000000000e+00 2.0017910236e+01 -3.6654768763e-55 0
1.7674418605e+00 -1.2000000000e+00 2.0017197923e+01 -3.8049925867e-55 0
1.7760286225e+00 -1.2000000000e+00 2.0016512882e+01 -3.8785679340e-55 0
1.7846153846e+00 -1.2000000000e+00 2.0015854918e+01 -3.8822476080e-55 0
1.7932021467e+00 -1.2000000000e+00 2.0015223830e+01 -3.8158324676e-55 0
1.8017889088e+00 -1.2000000000e+00 2.0014619409e+01 -3.6828973980e-55 0
1.8103756708e+00 -1.2000000000e+00 2.0014041440e+01 -3.4904725097e-55 0
1.8189624329e+00 -1.2000000000e+00 2.0013489700e+01 -3.2484272411e-55 0
1.8275491950e+00 -1.2000000000e+00 2.0012963961e+01 -2.9686324486e-55 0
1.8361359571e+00 -1.2000000000e+00 2.0012463984e+01 -2.6639993879e-55 0
1.8447227191e+00 -1.2000000000e+00 2.0011989529e+01 -2.3475034039e-55 0
1.8533094812e+00 -1.2000000000e+00 2.0011569551e+01 -2.0314169885e-55 0
1.8618962433e+00 -1.2000000000e+00 2.0011190483e+01 -1.7262491585e-55 0
1.8704830054e+00 -1.2000000000e+00 2.0010835279e+01 -1.4404714807e-55 0
1.8790697674e+00 -1.2000000000e+00 2.0010503676e+01 -1.1803232047e-55 0
1.8876565295e+00 -1.2000000000e+00 2.0010195409e+01 -9.4970306601e-56 0
1.8962432916e+00 -1.2000000000e+00 2.0009910204e+01 -7.5033586083e-56 0
1.9048300537e+00 -1.2000000000e+00 2.0009647785e+01 -5.8208371582e-56 0
