# x y r theta psi omega ur utheta ux uy speed
1.0691488758e-01 0.0000000000e+00 1.0691488758e-01 0.0000000000e+00 6.9245661401e-06 -2.5427172931e-01 2.0815432995e+01 6.3826696407e-04 2.0815432995e+01 6.3826696407e-04 2.0815433004e+01
1.1326022134e-01 0.0000000000e+00 1.1326022134e-01 0.0000000000e+00 3.3123187573e-06 -1.3048546602e-01 2.0448508994e+01 5.3154003330e-04 2.0448508994e+01 5.3154003330e-04 2.0448509001e+01
1.2000000000e-01 0.0000000000e+00 1.2000000000e-01 0.0000000000e+00 0.0000000000e+00 -1.3048546602e-01 2.0000000000e+01 -0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 2.0000000000e+01

4.9949653327e-03 2.2432415175e-04 5.0000000000e-03 4.4879895051e-02 0.0000000000e+00 5.4031780229e+04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
5.0049552634e-03 2.2477280006e-04 5.0100000000e-03 4.4879895051e-02 -2.7015890115e-06 4.4023481663e+04 -1.1480819178e-02 4.8980874853e-01 -3.3444445164e-02 4.8880045871e-01 4.8994328176e-01
5.0155661980e-03 2.2524933768e-04 5.0206216299e-03 4.4879895051e-02 -1.0382224315e-05 3.4124569851e+04 -4.4154662539e-02 9.0346691081e-01 -8.4644091412e-02 9.0057618830e-01 9.0454524107e-01
5.0268367399e-03 2.2575549830e-04 5.0319035320e-03 4.4879895051e-02 -2.2736273685e-05 2.4982084041e+04 -9.6719372248e-02 1.2347457969e+00 -1.5201864298e-01 1.2291631918e+00 1.2385280860e+00
5.0388078924e-03 2.2629312338e-04 5.0438867508e-03 4.4879895051e-02 -3.9310792065e-05 1.7114330490e+04 -1.6722798520e-01 1.4842218308e+00 -2.3364895839e-01 1.4752246630e+00 1.4936129492e+00
5.0515232076e-03 2.2686416884e-04 5.0566148823e-03 4.4879895051e-02 -5.9568667951e-05 1.0845759849e+04 -2.5333909752e-01 1.6589640066e+00 -3.2751314062e-01 1.6459275247e+00 1.6781961368e+00
5.0650289446e-03 2.2747071219e-04 5.0701342324e-03 4.4879895051e-02 -8.2964359921e-05 6.2667324093e+03 -3.5262900192e-01 1.7711462604e+00 -4.3173610448e-01 1.7535421936e+00 1.8059087155e+00
5.0793742386e-03 2.2811496009e-04 5.0844939857e-03 4.4879895051e-02 -1.0901702123e-04 3.2388433062e+03 -4.6290368308e-01 1.8357425504e+00 -5.4479784796e-01 1.8131259846e+00 1.8932064154e+00
5.0946112790e-03 2.2879925636e-04 5.0997463842e-03 4.4879895051e-02 -1.3736414867e-04 1.4540421659e+03 -5.8243787839e-01 1.8678308849e+00 -6.6565131798e-01 1.8398191269e+00 1.9565342054e+00
5.1107954992e-03 2.2952609053e-04 5.1159469173e-03 4.4879895051e-02 -1.6778395225e-04 5.3245245658e+02 -7.1008601172e-01 1.8802635666e+00 -7.9372870829e-01 1.8465123779e+00 2.0098789078e+00
5.1279857789e-03 2.3029810688e-04 5.1331545240e-03 4.4879895051e-02 -2.0018557254e-04 1.2263625374e+02 -8.4525430139e-01 1.8823572078e+00 -9.2885482334e-01 1.8425396085e+00 2.0634251844e+00
5.1462446578e-03 2.3111811408e-04 5.1514318068e-03 4.4879895051e-02 -2.3457781068e-04 -3.3631993504e+01 -9.8777391783e-01 1.8798088437e+00 -1.0711166001e+00 1.8335996921e+00 2.1235297506e+00
